Wall time,Step,Value
1542408688.457747,360162,-67671400.0
1542409384.080998,561975,-41551948.0
1542409888.741792,706556,-4235693.0
1542410426.058721,862377,-6030858.0
1542410440.4638238,866561,-6004443.0
1542410598.1176288,912304,-4260983.0
1542410837.353816,981534,-4711502.5
1542410841.3585432,982704,-4654938.5
1542410864.727251,989264,-3395959.25
1542411565.493498,1191275,-2580610.25
1542411694.1193101,1228140,-879635.8125
1542411816.5454102,1262862,-381058.375
1542411843.280677,1270555,-423634.75
1542412039.2145941,1327028,-2484259.25
1542412063.521266,1334037,-2477638.0
1542412216.172487,1377951,-300439.90625
1542412235.574666,1383196,-272733.0
1542412430.8382661,1439100,-336158.9375
1542412806.012675,1546177,-186357.15625
1542412902.522944,1573661,-171892.765625
1542412969.831358,1592974,-192574.09375
1542413295.0602822,1686528,-291898.3125
1542413397.391986,1716064,-312230.84375
1542413403.446434,1717803,-311966.84375
1542413419.850987,1722508,-278731.28125
1542413425.4412081,1724125,-238337.796875
1542413497.1189911,1744281,-137155.046875
1542413508.898924,1747626,-129529.7890625
1542413578.9543831,1767405,-130007.1875
1542413756.195787,1818433,-121425.375
1542414031.7835698,1897381,-601975.625
1542414107.877743,1919336,-165950.828125
1542414110.1527538,1919992,-162624.125
1542414291.048583,1971786,-87942.734375
1542414361.09669,1991905,-143545.640625
1542414520.0231118,2037701,-112820.9609375
1542414599.6498969,2060605,-113761.359375
1542414729.1307242,2097824,-90957.7890625
1542414815.666826,2122678,-111906.25
1542414869.012804,2138033,-103091.8515625
1542414986.425947,2171681,-113822.015625
1542415074.769855,2197118,-220603.78125
1542415140.54446,2215998,-213319.859375
1542415141.688468,2216328,-213328.140625
1542415158.2798772,2221093,-98027.9765625
1542415198.4363241,2232655,-92656.3515625
1542415393.364009,2288628,-93588.2265625
1542415459.6590872,2307357,-75554.5
1542415727.5534,2383131,-89522.9453125
1542415831.227904,2412733,-116488.640625
1542416062.7460349,2478811,-72382.09375
1542416083.173773,2484666,-76529.9296875
1542416152.284978,2504329,-80439.9765625
1542416561.860667,2620949,-119728.875
