Wall time,Step,Value
1543073800.9566941,363959,8766.0
1543073874.9488919,381590,1667.0
1543074504.39065,529128,1851.0
1543075523.807369,792343,5572.0
1543076116.809393,940720,2568.0
1543076190.411905,956939,665.0
1543076463.432723,1026382,794.0
1543076703.060396,1089863,3217.0
1543076887.598976,1142182,1471.0
1543076900.120418,1145778,2748.0
1543076999.0585332,1174460,522.0
1543077872.988107,1426447,852.0
1543078286.2616892,1523653,3622.0
1543078615.478994,1580298,2084.0
1543078683.757765,1591866,401.0
1543079166.466985,1669627,2117.0
1543079334.254588,1703472,2907.0
1543079582.682701,1771570,195.0
1543079619.2189262,1780639,271.0
1543079919.160579,1859228,282.0
1543079932.867918,1862326,311.0
1543080077.839602,1898558,2288.0
1543080882.668781,2106398,277.0
1543081208.2375538,2185135,903.0
1543081323.750189,2217560,1747.0
1543081591.775163,2289616,736.0
1543082071.444947,2399714,1907.0
1543082219.056041,2441638,261.0
1543082225.915188,2443579,301.0
1543082250.465469,2450578,203.0
1543082261.860675,2453844,286.0
1543082520.760597,2524239,1505.0
1543082559.9454432,2534079,2231.0
1543082700.620102,2571581,511.0
1543083085.071926,2669850,331.0
1543083253.68897,2715538,204.0
1543083587.974384,2805284,582.0
1543083745.6437702,2848802,407.0
1543083749.960035,2849839,505.0
1543084097.6619241,2935829,1015.0
1543084373.913138,3002764,228.0
1543084450.591537,3021676,1350.0
1543084539.6931279,3043391,175.0
1543084926.595399,3140293,360.0
1543085082.179444,3176411,806.0
1543085348.110946,3238907,395.0
1543085546.896765,3285937,324.0
1543085698.7839081,3320123,125.0
1543086173.555839,3428053,2793.0
1543086284.004034,3453472,1962.0
1543086357.2900538,3470686,1058.0
1543086360.808404,3471516,306.0
1543086412.6240342,3483713,775.0
1543086491.711148,3502153,336.0
1543086497.861196,3503621,1468.0
1543086554.813719,3516985,475.0
1543086562.156569,3518721,485.0
1543086703.973488,3551832,552.0
1543087147.125431,3662400,167.0
1543087244.761986,3689572,99.0
1543087638.093514,3797102,203.0
1543087821.82212,3840109,88.0
1543087830.3738172,3842123,1320.0
1543088268.098849,3942353,269.0
1543088403.553142,3974641,671.0
1543088432.691332,3982218,124.0
1543088443.4001548,3985039,2821.0
1543088509.6618938,4003048,630.0
1543088869.378867,4099885,538.0
1543089081.672705,4153935,377.0
1543089085.625654,4155057,781.0
1543089302.734572,4209929,320.0
1543089420.8550348,4239880,460.0
1543089584.186242,4282803,579.0
1543089600.442496,4287406,957.0
1543089955.2068639,4387185,209.0
1543090043.0707579,4409420,3229.0
1543090154.735067,4439889,106.0
1543090234.8886988,4461954,540.0
1543090439.6128159,4516251,194.0
1543090540.018344,4543817,334.0
1543090713.439473,4588528,60.0
1543090825.848334,4617905,392.0
1543090962.7328598,4650583,515.0
1543090987.7036748,4656412,747.0
1543091394.703506,4769189,2420.0
1543091400.496511,4770581,250.0
1543091410.933537,4773333,489.0
1543091635.203903,4830925,1578.0
1543091680.1575491,4843069,430.0
1543091725.600286,4855192,291.0
1543091817.1713762,4880390,290.0
1543092009.3848372,4932053,348.0
1543092227.00927,4988993,361.0
1543092301.3179781,5007919,1389.0
1543092664.117732,5099268,128.0
1543092688.657425,5105024,890.0
1543092772.267719,5127002,323.0
1543093013.895405,5189770,85.0
1543093344.891916,5274713,268.0
1543093507.4497159,5315146,934.0
1543093616.200372,5344890,317.0
1543093699.1677818,5364648,643.0
1543093706.9699872,5366630,61.0
1543093779.6915042,5383516,346.0
1543093855.85295,5403238,114.0
1543094115.8790479,5472524,61.0
1543094140.779066,5479444,429.0
1543094207.385953,5496368,210.0
1543094293.779944,5517047,197.0
1543094613.953781,5601863,1074.0
1543094705.682671,5624518,295.0
1543094738.739089,5633352,55.0
1543094868.8857841,5669688,534.0
1543094893.075082,5676265,627.0
1543095160.418703,5746052,404.0
1543095379.1926012,5802113,436.0
1543095662.18627,5871454,264.0
1543095773.796415,5902171,169.0
1543095956.193744,5952511,958.0
1543096060.673252,5981195,162.0
1543096185.42946,6015673,172.0
1543096191.0957172,6017261,1378.0
1543096204.186477,6020908,225.0
1543096249.268202,6033302,811.0
1543096758.8993652,6180295,347.0
1543096776.788688,6185455,111.0
1543096868.929286,6212125,250.0
1543097111.221762,6282169,85.0
1543097195.790634,6306576,80.0
1543097311.74127,6339970,696.0
1543097407.180971,6366111,181.0
1543097597.901036,6420274,317.0
1543097602.235626,6421498,91.0
1543097609.91293,6423677,228.0
1543097728.709095,6457143,248.0
1543097752.627902,6463923,193.0
1543097832.84631,6486526,122.0
1543097858.120223,6493610,260.0
1543098039.7646039,6544382,87.0
1543098067.737497,6552325,1014.0
1543098108.961637,6563995,3196.0
1543098123.8846989,6568208,435.0
1543098189.099874,6586717,148.0
1543098465.759129,6664979,65.0
1543098500.0912929,6674629,249.0
1543098524.496574,6681512,121.0
1543098613.644908,6706766,275.0
1543098637.0506308,6713374,206.0
1543098698.65537,6730590,92.0
1543098706.768162,6732870,246.0
1543098765.327245,6749275,272.0
1543098784.42808,6754656,293.0
1543098801.37989,6759444,225.0
1543099015.095158,6819851,225.0
1543099079.646299,6838147,210.0
1543099329.826155,6909016,166.0
1543099460.569002,6945720,346.0
1543099465.618953,6947148,102.0
1543099555.0871391,6972384,127.0
1543099602.6349802,6985733,37.0
1543099630.7283359,6993647,296.0
1543099680.634048,7007693,217.0
1543099699.881154,7012873,74.0
1543099710.521607,7015713,227.0
1543099745.8437781,7025630,221.0
1543099776.9981608,7034404,163.0
1543099777.714797,7034591,187.0
1543099793.405021,7039010,164.0
1543099887.668749,7065648,196.0
1543099892.308738,7066961,163.0
1543099931.967118,7078104,218.0
1543099936.010126,7079248,498.0
1543099969.644145,7088778,172.0
1543099987.5331929,7093827,403.0
1543099994.8792121,7095907,89.0
1543100110.6599958,7128818,203.0
1543100161.406828,7143066,243.0
1543100172.242986,7146116,163.0
1543100221.6585972,7160021,165.0
1543100398.30209,7209857,110.0
1543100458.3281732,7226649,424.0
1543100482.675575,7233517,175.0
1543100506.257757,7240195,99.0
1543100512.366715,7241921,167.0
1543100532.252089,7247499,191.0
1543100586.200159,7262277,74.0
1543100609.415883,7268580,163.0
1543100659.879508,7282717,326.0
1543100761.235729,7311289,186.0
1543100856.368119,7338137,60.0
1543100858.548332,7338730,147.0
1543100873.40961,7342891,61.0
1543100988.918281,7375291,101.0
1543101079.755795,7401043,175.0
1543101091.584379,7404371,215.0
1543101163.338685,7424558,117.0
1543101234.4719071,7444585,131.0
1543101309.87968,7465847,152.0
1543101491.375684,7516539,169.0
1543101683.3580532,7570252,147.0
1543101717.009067,7579690,201.0
1543101757.6638348,7590927,82.0
1543101764.620897,7592867,128.0
1543101777.880322,7596573,127.0
1543101805.413239,7604331,899.0
1543101821.0770948,7608727,36.0
1543101837.6345,7613414,465.0
1543101971.822506,7651222,101.0
1543102078.885591,7681088,301.0
1543102081.825912,7681913,149.0
1543102137.408617,7697536,146.0
1543102177.368063,7708782,183.0
1543102214.557337,7719229,223.0
1543102274.402223,7736149,186.0
1543102308.7988439,7745813,198.0
1543102396.036366,7770312,90.0
1543102438.498579,7782241,206.0
1543102551.345571,7813719,170.0
1543102648.1645398,7840858,1147.0
1543102718.588871,7860760,104.0
1543102721.7637289,7861642,174.0
1543102735.067892,7865385,137.0
1543102743.916773,7867868,162.0
1543102773.818176,7875989,67.0
1543102808.765439,7885813,174.0
1543102917.164872,7916022,82.0
1543102919.670362,7916713,77.0
1543102937.372221,7921496,141.0
1543102941.424236,7922625,77.0
1543102947.2800052,7924258,194.0
1543103020.718179,7944913,99.0
1543103029.5710132,7947407,158.0
1543103042.099262,7950928,93.0
1543103077.191606,7959643,123.0
1543103089.384042,7962072,112.0
1543103300.014433,8017652,187.0
1543103398.889388,8043921,150.0
1543103447.359895,8056673,152.0
1543103481.2502122,8065622,171.0
1543103659.980258,8112424,341.0
1543103662.4767401,8112992,250.0
1543103701.8497548,8122673,115.0
1543103723.437269,8127244,67.0
1543104021.551511,8195443,146.0
1543104046.593714,8201218,129.0
1543104093.164387,8211886,131.0
1543104197.822902,8234709,188.0
1543104273.6012008,8252046,261.0
1543104286.755306,8255157,150.0
1543104365.913758,8273096,44.0
1543104410.230856,8282936,150.0
1543104423.380012,8285935,187.0
1543104433.271404,8288245,126.0
1543104463.8839831,8294986,129.0
1543104533.6308951,8311074,195.0
1543104672.013206,8343038,101.0
1543104760.991155,8363712,148.0
1543104787.3090692,8370369,187.0
1543104816.878079,8377289,125.0
1543105027.126071,8423917,280.0
1543105100.501961,8440556,454.0
1543105246.488678,8473501,187.0
1543105266.959916,8478824,178.0
1543105279.0854862,8481895,121.0
1543105293.2213812,8485545,179.0
1543105305.5002382,8488682,314.0
1543105365.6692421,8504116,220.0
1543105419.3896608,8517986,157.0
1543105427.6528242,8520046,117.0
1543105443.690339,8524226,133.0
1543105448.216202,8525406,157.0
1543105462.48816,8529019,141.0
1543105541.0288708,8549406,190.0
1543105697.496953,8589446,151.0
1543105714.3012521,8593841,179.0
1543105739.471133,8600330,164.0
1543105765.808579,8607083,176.0
1543106084.744977,8695221,185.0
